Feature,Importance,Std
成交值(百萬元)_月,0.23974833386263922,0.07342261855198721
高低價差%,0.11788964723674214,0.06121362312727944
週轉率％_月,0.11297214344124513,0.07747271966427988
市值(百萬元),0.10334146034959084,0.017932739531121723
股價漲跌(元),0.0515121245711234,0.012351115723122055
股價淨值比-TEJ,0.01810100329567601,0.01963353097434511
市值比重％,0.007394345899837229,0.005211483650641591
流通在外股數(千股),0.0020422410291545566,0.0016052021937734817
成交值比重％,0.0007158886759206284,0.0007696014458121586
股價營收比-TEJ,-0.00020967690996009924,7.598588191942295e-05
成交量(百萬股)_月,-0.002438034105695941,0.0398807661735453
收盤價(元)_月,-0.00491612679310034,0.002293488357352296
