Feature,Importance,Std
股價漲跌(元),0.7725404903769542,0.20132557856456432
高低價差%,0.47179885594194104,0.041964632482711275
週轉率％_月,0.12171041942624891,0.035293714560090006
成交值比重％,0.10240130185853347,0.07935015073014388
收盤價(元)_月,0.05696013573455187,0.018172946820604434
股價淨值比-TEJ,0.03129279163823747,0.015119687865693019
流通在外股數(千股),0.02120109131330118,0.009937603893673593
成交量(百萬股)_月,-0.0015116406623565837,0.0229615231134273
股價營收比-TEJ,-0.006886459698842695,0.010259674909379462
市值(百萬元),-0.01101676013607239,0.010369183753346377
市值比重％,-0.01949293513009983,0.016543916293054097
成交值(百萬元)_月,-0.03395668798065806,0.038649085748137725
