Feature,Importance,Std
高低價差%,0.3318325769629605,0.031735046040712145
週轉率％_月,0.21977869979111767,0.011522591989612672
成交量(百萬股)_月,0.08744647934501437,0.008538115578204856
股價漲跌(元),0.04367831917641303,0.00783661050341228
市值(百萬元),0.025131041649042486,0.030785887701950527
市值比重％,0.019292542082932816,0.009121291249799482
股價淨值比-TEJ,0.010889701251231653,0.0062928846446671325
成交值比重％,0.0021498659875456407,0.0003814400789640989
收盤價(元)_月,0.0014534638012224765,0.0008769700035761827
股價營收比-TEJ,0.00010096790629000596,6.484041072246352e-05
流通在外股數(千股),-0.00047125984844934574,0.0015487546685754273
成交值(百萬元)_月,-0.01129286388137336,0.01132428280297608
