Feature,Importance,Std
股價漲跌(元),0.7343160573993979,0.09033218957414797
高低價差%,0.5218089671000328,0.05383638212616403
週轉率％_月,0.19003263052352454,0.033225912627924195
收盤價(元)_月,0.11379875762207767,0.03665812534901652
成交值比重％,0.0276151642089016,0.017724280719076845
成交量(百萬股)_月,0.023996057483630817,0.012960320447200045
股價淨值比-TEJ,0.022638186768935496,0.02303794379028137
流通在外股數(千股),0.01853853350431065,0.0047519972253404945
成交值(百萬元)_月,0.013719087789823304,0.016155556759527265
市值(百萬元),0.005461348429860369,0.008213135576846803
股價營收比-TEJ,0.002696343027450454,0.005423030124644635
市值比重％,0.0021076282972937064,0.0069766586532677595
